clips_name,Name of Organisation,Type,UEN,IPC Period,Address,Sector,Classification,Activities,date_of_reg,ipc_status,status,website,Neighbour 1 Name of Organisation,Neighbour 1 UEN,Neighbour 1 Sector,Neighbour 1 Classification,Neighbour 2 Name of Organisation,Neighbour 2 UEN,Neighbour 2 Sector,Neighbour 2 Classification,Neighbour 3 Name of Organisation,Neighbour 3 UEN,Neighbour 3 Sector,Neighbour 3 Classification,Neighbour 4 Name of Organisation,Neighbour 4 UEN,Neighbour 4 Sector,Neighbour 4 Classification,Neighbour 5 Name of Organisation,Neighbour 5 UEN,Neighbour 5 Sector,Neighbour 5 Classification,Neighbour 6 Name of Organisation,Neighbour 6 UEN,Neighbour 6 Sector,Neighbour 6 Classification,Neighbour 7 Name of Organisation,Neighbour 7 UEN,Neighbour 7 Sector,Neighbour 7 Classification,Neighbour 8 Name of Organisation,Neighbour 8 UEN,Neighbour 8 Sector,Neighbour 8 Classification,Neighbour 9 Name of Organisation,Neighbour 9 UEN,Neighbour 9 Sector,Neighbour 9 Classification,Neighbour 10 Name of Organisation,Neighbour 10 UEN,Neighbour 10 Sector,Neighbour 10 Classification,Neighbour 11 Name of Organisation,Neighbour 11 UEN,Neighbour 11 Sector,Neighbour 11 Classification,Neighbour 12 Name of Organisation,Neighbour 12 UEN,Neighbour 12 Sector,Neighbour 12 Classification,Neighbour 13 Name of Organisation,Neighbour 13 UEN,Neighbour 13 Sector,Neighbour 13 Classification,Neighbour 14 Name of Organisation,Neighbour 14 UEN,Neighbour 14 Sector,Neighbour 14 Classification,Neighbour 15 Name of Organisation,Neighbour 15 UEN,Neighbour 15 Sector,Neighbour 15 Classification
ngee_ann_cultural_centre_limited,NGEE ANN CULTURAL CENTRE LIMITED,Charity Organisation,199805169D,Not applicable,1 MARINA BOULEVARD #28-00 ONE MARINA BOULEVARD Singapore 018989,Arts and Heritage,Historical & Cultural Conservation,"The principal activities of the Company are those relating to promotion and development of interest in cultural arts, museums, galleries and preservation of historical sites",16/03/1999,Not applicable,Registered,http://www.ngeeann.com.sg,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education","Singapore Arts Federation, The",S67SS0028B,Arts and Heritage,Others,SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
singapore_indian_fine_arts_society_the,"Singapore Indian Fine Arts Society, The",Charity Organisation,S62SS0048J,Not applicable,2 STARLIGHT ROAD Singapore 217755,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",Refer to Attached Constitutio,23/02/2006,Not applicable,Registered,http://www.sifas.org,SCULPTURE SQUARE LIMITED,199604522K,Arts and Heritage,Visual Arts,CHECKPOINT THEATRE LIMITED,200209251R,Arts and Heritage,Theatre & Dramatic Arts,SCAB LIMITED,200207271H,Arts and Heritage,Visual Arts,SINGAPORE ARTS SCHOOL LTD.,200500775C,Arts and Heritage,Training & Education,SINGAPORE SENIOR CITIZEN CALLIGRAPHY UNIVERSITY CENTRE LIMITED,200719102E,Arts and Heritage,Others,ORCHESTRA OF THE MUSIC MAKERS LTD.,201002361G,Arts and Heritage,Music & Orchestras,KUO PAO KUN FOUNDATION LIMITED,200722797E,Arts and Heritage,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
national_book_development_council_of_singapore_the,"National Book Development Council of Singapore, The",IPC,S68SS0042H,From 01/10/2017 to 30/09/2019,90 GOODMAN ROAD #03-32 GOODMAN ARTS CENTRE Singapore 439053,Arts and Heritage,"Literary Arts,Training & Education","The principal objective of the Council is to promote the reading of books, improving book production and distribution and to encourage the growth of Singapore Literature",31/10/1986,Live,Registered,http://www.bookcouncil.sg,SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,"Singapore Arts Federation, The",S67SS0028B,Arts and Heritage,Others,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
singapore_clan_foundation,SINGAPORE CLAN FOUNDATION,IPC,198601162H,From 04/12/2017 to 03/12/2018,397 LORONG 2 TOA PAYOH Singapore 319639,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",(1) Support Singapore River Hong Bao. (2) Provide scholarships for students pursuing post-graduate degrees in Chinese studies. (3) Support smaller clan associations in organising Chinese cultural activities. (4) Support activities of Singapore Federation of Chinese Clan Associations. (5) Provide scholarships for the graduates of Nanyang Junior College who are going to to study in Chinese Department of the Nanyang University of Singapore,22/07/1986,Live,Registered,http://www.sfcca.org.sg/scf,SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design_society_the,"Design Society, The",IPC,T09SS0071G,From 18/01/2018 to 17/01/2019,75 JALAN KELABU ASAP Singapore 278268,Arts and Heritage,Others,"The Design Society Lecture Series We plan to hold lectures and talks at secondary schools, junior colleges, polytechnics, universities to supplement the existing school design syllabus or as an add-on topic for students who are keen to know more about design beyond what is being offered in their schools / institutions. This should encourage students to be more design centric and more 'design educated'. Mobile Educational Exhibitions Program The Design Society will present a series of touring mobile educational exhibitions in the local tertiary and secondary schools. The exhibitions will present original theme and content based on it's design archive and local educational program. The exhibitions will serve as platforms to educate, inspire and interact. It is dedicated to bridging and connecting the local design community to the educators and students. The Design Society hopes to share and promote design knowledge and appreciation to the developing minds of Singapore's future generation. Singapore Design Archive The Design Society will launch a design archive to collect, preserve and document Singapore's design history and works. The ongoing collection will be easily accessible in order to facilitate understanding, research and writing in the field. Acknowledging its position as more than a static collection of material waiting to be discovered, The Design Society's Singapore Design Archive endeavours to be pro-active in instigating dialogue and critical thinking through the regular initiation of educational and public programs, and in introducing as wide an audience as possible to this rich resource. The archive's collection will be both physical and digital. An online archive gallery will be launched and maintained. Bi-Annual Public Exhibitions The Design Society will present 2 public exhibitions every year. The exhibitions will be open to the Society's members and public. The exhibitions will be presented in collaboration with local institutions and museums. The exhibitions will present original themes and content based on its design archive collection, international industry / institutional partnership, local educational program and annual design forum. The exhibitions will serve as platforms to educate, inspire and interact. The Design Society is dedicated to the conversation between the past and future of Singapore's design culture. Bi-Annual Design Publications One of the first priorities of the Society is to address the lack of a local publication dedicated to serious and professional discourse on graphic design. The proposed twice-yearly schedule will allow the editorial team to gather and follow through with research and reportage on major design events and projects. We intend for the inaugural issue to signal a new maturity in critical thinking and desire to raise our standards for design knowledge. Beginning with members of the Society, the publication will also be distributed to high profile individuals and leaders in related fields and industries in Singapore and across the Asia Pacific region. With the quality of content and a highly targeted audience, the publication is set to become an important milestone for the Singapore design scene",31/12/2009,Live,Registered,http://www.thedesignsociety.sg,Tampines Arts Troupe,S91SS0060L,Arts and Heritage,Traditional Ethnic Performing Arts,SINGAPORE CHINESE ORCHESTRA COMPANY LIMITED,199603271D,Arts and Heritage,Music & Orchestras,THE NECESSARY STAGE LTD,199202435N,Arts and Heritage,Theatre & Dramatic Arts,SINGAPORE REPERTORY THEATRE LTD,199301614N,Arts and Heritage,Theatre & Dramatic Arts,WILD RICE LTD,200100891D,Arts and Heritage,Theatre & Dramatic Arts,ODYSSEY DANCE THEATRE LTD,200107383N,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",THE LIBRARY FUND,T03CC1744D,Arts and Heritage,Historical & Cultural Conservation,TFA LALITA KALA COMPANY,200410925C,Arts and Heritage,Traditional Ethnic Performing Arts,LASALLE COLLEGE OF THE ARTS LIMITED,199202950W,Arts and Heritage,Training & Education,THE FINGER PLAYERS LTD,199905145W,Arts and Heritage,Theatre & Dramatic Arts,,,,,,,,,,,,,,,,,,,,
the_esplanade_co_ltd,THE ESPLANADE CO LTD,IPC,199205206G,From 01/04/2017 to 31/03/2020,1 ESPLANADE DRIVE ESPLANADE - THEATRES ON THE BAY Singapore 038981,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts","The principal activities of the Company are: - To manage and operate Esplanade-Theatres On The Bay, and ancillary facilities for the benefit of the arts; - To support the presentation and development of artistics productions and activities reflecting Singapore's diverse cultural and international backgrounds; and - To raise and maintain the standards of arts productions, talent and skills in Singapore",03/08/1995,Live,Registered,http://www.esplanade.com,NATIONAL LIBRARY BOARD,T08GB0037J,Arts and Heritage,Historical & Cultural Conservation,NATIONAL HERITAGE BOARD,T08GB0036B,Arts and Heritage,Historical & Cultural Conservation,NANYANG FINE ARTS FOUNDATION LIMITED,198904643G,Arts and Heritage,Training & Education,SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,THE ESPLANADE CO LTD,199205206G,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",LASALLE COLLEGE OF THE ARTS LIMITED,199202950W,Arts and Heritage,Training & Education,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_dance_company_ltd,T.H.E DANCE COMPANY LTD.,IPC,200818017E,From 04/01/2017 to 03/01/2020,90 GOODMAN ROAD #01-51 GOODMAN ARTS CENTRE Singapore 439053,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",Please see attache,12/01/2011,Live,Registered,http://www.the-dancecompany.com,ARTS HOUSE LTD.,200210647W,Arts and Heritage,Others,T'ANG QUARTET LIMITED,200102183D,Arts and Heritage,Music & Orchestras,THE ESPLANADE CO LTD,199205206G,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",NANYANG ACADEMY OF FINE ARTS,201006523M,Arts and Heritage,Training & Education,NATIONAL GALLERY SINGAPORE,200900977G,Arts and Heritage,"Historical & Cultural Conservation,Visual Arts",WILD RICE LTD,200100891D,Arts and Heritage,Theatre & Dramatic Arts,SINGAPORE REPERTORY THEATRE LTD,199301614N,Arts and Heritage,Theatre & Dramatic Arts,ODYSSEY DANCE THEATRE LTD,200107383N,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",THE LIBRARY FUND,T03CC1744D,Arts and Heritage,Historical & Cultural Conservation,Tampines Arts Troupe,S91SS0060L,Arts and Heritage,Traditional Ethnic Performing Arts,TFA LALITA KALA COMPANY,200410925C,Arts and Heritage,Traditional Ethnic Performing Arts,THE FINGER PLAYERS LTD,199905145W,Arts and Heritage,Theatre & Dramatic Arts,CENTRE 42 LIMITED,201403108H,Arts and Heritage,"Theatre & Dramatic Arts,Training & Education",NANYANG FINE ARTS FOUNDATION LIMITED,198904643G,Arts and Heritage,Training & Education,,,,
cake_theatrical_productions_ltd,CAKE THEATRICAL PRODUCTIONS LTD.,Charity Organisation,200513050G,Not applicable,242 TANJONG KATONG ROAD Singapore 437030,Arts and Heritage,Theatre & Dramatic Arts,Please refer to the attachment at b,30/10/2007,Not applicable,Registered,www.caketheatre.com,NANYANG FINE ARTS FOUNDATION LIMITED,198904643G,Arts and Heritage,Training & Education,THE ESPLANADE CO LTD,199205206G,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,THEATREWORKS (SINGAPORE) LTD.,199001149D,Arts and Heritage,Theatre & Dramatic Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tampines_arts_troupe,Tampines Arts Troupe,IPC,S91SS0060L,From 01/10/2017 to 31/03/2018,120 Tampines Street 11 #02-294 Singapore 521120,Arts and Heritage,Traditional Ethnic Performing Arts,"To develop specialty in preserving & promoting Chinese classical, ethnic & creative dance. Organise dance performances for community level as well as artistic level. Beneficial area: Production at the theatre Choreography fee, Instructor fee, Costumes & Props, administration",01/06/2000,Live,Registered,http://www.nac.gov.sg,SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",NANYANG FINE ARTS FOUNDATION LIMITED,198904643G,Arts and Heritage,Training & Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spot_art_limited,SPOT ART LIMITED,Charity Organisation,201404060Z,Not applicable,17 JALAN RAJAWALI #03-03 PATENT PLACE Singapore 598434,Arts and Heritage,Visual Arts,"SPOT ART is a non-profit, annual, high quality, juried visual art competition and exhibition featuring young artists under the age of 30 in Singapore and SE Asia that aims to strengthen Singapore’s profile as a compelling and vibrant arts and culture destination. By strategically positioning its first edition to correspond with the 2013 edition of the internationally renowned Singapore Biennale located in the heart of the museum district, SPOT ART delivered a world-class exhibition that attracted over 20,000 attendees . The public enjoyed the unique opportunity to support young talent and form a deeper engagement with art through paintings, sculpture, video, installations, and conceptual pieces from over 76 young artists selected from over 2500 new works entries from 10 countries. SPOT ART is a new and innovative addition to the burgeoning art infrastructure in Singapore. The disbursement for funds is directly to the cost of the exhibition and to the young artists",01/09/2014,Not applicable,Registered,www.spotart.sg,My Community,T10SS0125C,Arts and Heritage,Historical & Cultural Conservation,THE SELECT CENTRE LTD.,201527668D,Arts and Heritage,"Literary Arts,Training & Education",KUO PAO KUN FOUNDATION LIMITED,200722797E,Arts and Heritage,Others,ORCHESTRA OF THE MUSIC MAKERS LTD.,201002361G,Arts and Heritage,Music & Orchestras,SINGAPORE SENIOR CITIZEN CALLIGRAPHY UNIVERSITY CENTRE LIMITED,200719102E,Arts and Heritage,Others,SINGAPORE ARTS SCHOOL LTD.,200500775C,Arts and Heritage,Training & Education,SCAB LIMITED,200207271H,Arts and Heritage,Visual Arts,CHECKPOINT THEATRE LIMITED,200209251R,Arts and Heritage,Theatre & Dramatic Arts,SCULPTURE SQUARE LIMITED,199604522K,Arts and Heritage,Visual Arts,,,,,,,,,,,,,,,,,,,,,,,,
radin_mas_ccc_community_development_and_welfare_fund,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,IPC,S86CC0339D,From 01/04/2015 to 31/03/2018,1 TELOK BLANGAH CRESCENT RADIN MAS COMMUNITY CLUB Singapore 098915,Community,Central,#NAME?,18/06/1986,Live,Registered,http://www.pa.gov.sg,TELOK BLANGAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S85CC0267J,Community,South West,ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0308D,Community,North West,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0339D,Community,Central,CHENG SAN  SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0356D,Community,Central,TANJONG PAGARTIONG BAHRU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0364F,Community,Central,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0397J,Community,North West,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0436A,Community,Central,BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0463F,Community,South West,TAMAN JURONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0501H,Community,South West,,,,,,,,,,,,,,,,,,,,,,,,
kaki_bukit_ccc_community_development_and_welfare_fund,KAKI BUKIT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,IPC,S92CC0869A,From 01/04/2015 to 31/03/2018,670 BEDOK NORTH STREET 3 KAKI BUKIT COMMUNITY CENTRE Singapore 469627,Community,North East,School Assist Scheme - Provide book vouchers for Kaki Bukit residents from low income families Angpow/Green Packet Presentation - Provide grocery items and angpow to Kaki Bukit Residents from low income familie,19/03/1992,Live,Registered,Not applicable,TELOK BLANGAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S85CC0267J,Community,South West,ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0308D,Community,North West,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0339D,Community,Central,CHENG SAN  SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0356D,Community,Central,TANJONG PAGARTIONG BAHRU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0364F,Community,Central,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0397J,Community,North West,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0436A,Community,Central,BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0463F,Community,South West,TAMAN JURONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0501H,Community,South West,BOON LAY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0542B,Community,South West,BEDOK RESERVIORPUNGGOL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S88CC0571D,Community,North East,,,,,,,,,,,,,,,,
kebun_baru_ccc_community_development_and_welfare_fund,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,IPC,S86CC0397J,From 22/11/2013 to 21/11/2018,113 ANG MO KIO AVENUE 4 #01-343 Singapore 560113,Community,North West,Bursary Presentation to needy family; Hong Bao Presentation to PA recipients; Short term financial help and NTUC food coupon to needy family; provide financial assistance to family in distress,28/11/1986,Live,Registered,Not applicable,TELOK BLANGAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S85CC0267J,Community,South West,ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0308D,Community,North West,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0339D,Community,Central,CHENG SAN  SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0356D,Community,Central,TANJONG PAGARTIONG BAHRU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0364F,Community,Central,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0397J,Community,North West,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0436A,Community,Central,BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0463F,Community,South West,TAMAN JURONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0501H,Community,South West,,,,,,,,,,,,,,,,,,,,,,,,
