address,date_of_reg,ipc_period,ipc_status,name,primary_sector,status,uen,website
100 BRIGHT HILL DRIVE Singapore 579646,,Not applicable,Not applicable,AI TONG SCHOOL,Education,Exempt,T07GS5625C,http://www.aitong.moe.edu.sg
600 Upper Changi Road Singapore 487012,,Not applicable,Not applicable,All Saints' Church,Religious,Exempt,T08CC4057C,http://www.asc.org.sg
600 Upper Changi Road Singapore 487012,,Not applicable,Not applicable,All Saints' Church (English Congregation),Religious,Exempt,T08CC4058K,http://www.ase.org.sg
600 UPPER CHANGI ROAD Singapore 487012,,Not applicable,Not applicable,ANGLICAN HIGH SCHOOL,Education,Exempt,T07GS7101C,http://www.anglicanhigh.moe.edu.sg
25 DOVER CLOSE EAST Singapore 139745,,Not applicable,Not applicable,ANGLO-CHINESE JUNIOR COLLEGE,Education,Exempt,T07GS0803F,http://www.acjc.edu.sg
60 BARKER ROAD Singapore 309919,,Not applicable,Not applicable,ANGLO-CHINESE SCHOOL (BARKER ROAD),Education,Exempt,T07GS7032A,http://acsbr.net/
121 DOVER ROAD Singapore 139650,,Not applicable,Not applicable,ANGLO-CHINESE SCHOOL (INDEPENDENT),Education,Exempt,T07GS7001A,http://www.acs.sch.edu.sg/acs_indep
25 PECK HAY ROAD Singapore 228315,,Not applicable,Not applicable,ANGLO-CHINESE SCHOOL (JUNIOR),Education,Exempt,T07GS5001H,http://www.anglochinesejunior.moe.edu.sg
50 BARKER ROAD Singapore 309918,,Not applicable,Not applicable,ANGLO-CHINESE SCHOOL (PRIMARY),Education,Exempt,T07GS5638G,http://www.anglochinesepri.moe.edu.sg
622 UPPER BUKIT TIMAH ROAD Singapore 678117,,Not applicable,Not applicable,ASSUMPTION ENGLISH SCHOOL,Education,Exempt,T07GS7002H,http://schools.moe.edu.sg/aes
1 Commonwealth Dr Singapore 149603,,Not applicable,Not applicable,Blessed Sacrament Church,Religious,Exempt,T08CC4050J,http://www.bsc.org.sg
1 SALLIM ROAD Singapore 387621,,Not applicable,Not applicable,CANOSSA CONVENT PRIMARY SCHOOL,Education,Exempt,T07GS5003L,http://schools.moe.edu.sg/ccps
A Queen St Singapore 188533,,Not applicable,Not applicable,Cathedral of the Good Shepherd,Religious,Exempt,T08CC4024L,http://cathedral.catholic.org
9 BISHAN STREET 22 Singapore 579767,,Not applicable,Not applicable,CATHOLIC HIGH SCHOOL,Education,Exempt,T07GS7102K,http://www.chs.moe.edu.sg
129 WHITLEY ROAD Singapore 297822,,Not applicable,Not applicable,CATHOLIC JUNIOR COLLEGE,Education,Exempt,T07GS0802K,http://www.cjc.edu.sg
1261 Upper Serangoon Road Singapore 534796,,Not applicable,Not applicable,Catholic Spirituality Center,Religious,Exempt,T08CC4089K,http://www.csctr.net
9 JALAN BUKIT MERAH Singapore 169543,,Not applicable,Not applicable,CENTRAL SIKH GURDWARA BOARD,Religious,Exempt,T09CC0002F,http://www.sikhs.org.sg/
17 MARTIA ROAD Singapore 424821,,Not applicable,Not applicable,CHIJ (KATONG) PRIMARY,Education,Exempt,T07GS5637L,http://schools.moe.edu.sg/chijkps
1 Bukit Teresa Road Singapore 99757,,Not applicable,Not applicable,CHIJ (KELLOCK),Education,Exempt,T07GS5005C,http://schools.moe.edu.sg/kellock/
346 MARINE TERRACE Singapore 449150,,Not applicable,Not applicable,CHIJ KATONG CONVENT,Education,Exempt,T07GS7008F,http://www.chijkatongconvent.moe.edu.sg
10 Ang Mo Kio Street 54 Singapore 569184,,Not applicable,Not applicable,CHIJ OUR LADY OF GOOD COUNSEL,Education,Exempt,T07GS5017L,http://schools.moe.edu.sg/chijolgc
1257 UPPER SERANGOON ROAD Singapore 534793,,Not applicable,Not applicable,CHIJ OUR LADY OF THE NATIVITY,Education,Exempt,T07GS5007F,http://www.chijourladyofthenativity.moe.edu.sg/
300 Jalan Jurong Kechil Singapore 598668,,Not applicable,Not applicable,CHIJ OUR LADY QUEEN OF PEACE,Education,Exempt,T07GS5019C,http://schools.moe.edu.sg/chijbt
628 Lorong 1 Toa Payoh Singapore 319765,,Not applicable,Not applicable,CHIJ PRIMARY (TOA PAYOH),Education,Exempt,T07GS5004G,http://www.chijpritoapayoh.moe.edu.sg
626 LORONG 1 TOA PAYOH Singapore 319764,,Not applicable,Not applicable,CHIJ SECONDARY (TOA PAYOH),Education,Exempt,T07GS7004L,HTTP://SCHOOLS.MOE.EDU.SG/CHIJSECTP
100 BRIGHT HILL DRIVE Singapore 579646,,Not applicable,Not applicable,AI TONG SCHOOL,Education,Exempt,T07GS5625C,http://www.aitong.moe.edu.sg
600 Upper Changi Road Singapore 487012,,Not applicable,Not applicable,All Saints' Church,Religious,Exempt,T08CC4057C,http://www.asc.org.sg
600 Upper Changi Road Singapore 487012,,Not applicable,Not applicable,All Saints' Church (English Congregation),Religious,Exempt,T08CC4058K,http://www.ase.org.sg
