balance_assets_accounts_receivables,balance_assets_cash_deposits,balance_assets_inventories,balance_assets_investments,balance_assets_land_building,balance_assets_other_assets,balance_assets_other_tangible,balance_assets_total,balance_funds_endowment,balance_funds_liabilities_total,balance_funds_restricted,balance_funds_total,balance_funds_unrestricted,balance_liabilities_current,balance_liabilities_non_current,balance_liabilities_total,capital_in_nature,category_id,expenses_charitable_local,expenses_charitable_overseas,expenses_charitable_total,expenses_fund_raising,expenses_others_total,expenses_total,financial_period,financial_status,index,name,other_info_donation_other_charities,other_info_fund_raising_efficiency_ratio,other_info_no_of_employees,other_info_total_employee_costs,other_info_total_related_party_transactions,primary_sector,receipts_donation_cash_non_tax_deductible,receipts_donation_cash_tax_deductible,receipts_donation_cash_total,receipts_donation_kind_non_tax_deductible,receipts_donation_kind_tax_deductible,receipts_donation_kind_total,receipts_government_grants,receipts_investment_income,receipts_others_income,receipts_programme_fees,receipts_total,sub_setor,uen
"67,390","1,162,472","13,612",0,0,0,"294,434","1,537,908",0,"1,537,908",0,"1,325,708","1,325,708","212,200",0,"212,200","162,852",0,"797,514",0,"797,514",0,"666,169","1,463,683",Apr 2016 - Mar 2017,Received,fy1,ASIAN FILM ARCHIVE,0,4,6,"445,792","82,901",Arts and Heritage,0,"4,346","4,346",0,0,0,"2,088,112",0,"58,000","369,085","2,519,543",Historical & Cultural Conservation,200500010H
"32,309","374,468","13,674",0,0,0,"218,502","638,953",0,"638,953",0,"269,848","269,848","344,105","25,000","369,105",0,0,"1,569,667",0,"1,569,667",0,"548,107","2,117,774",Apr 2015 - Mar 2016,Late,fy2,ASIAN FILM ARCHIVE,0,0,5,"396,759",0,Arts and Heritage,0,"3,433","3,433",0,0,0,"1,066,881",0,"1,272,625",0,"2,342,939",Historical & Cultural Conservation,200500010H
"9,100","278,700","19,200",0,0,"7,600",0,"314,600",0,"314,600",0,"44,600","44,600","245,000","25,000","270,000",0,0,"331,000",0,"331,000",0,"326,100","657,100",Apr 2014 - Mar 2015,Late,fy3,ASIAN FILM ARCHIVE,0,0,5,"250,700",0,Arts and Heritage,0,"1,000","1,000",0,0,0,"671,100",0,"19,700",0,"691,800",Historical & Cultural Conservation,200500010H
"30,000","31,540,000",0,"91,714,000",0,0,0,"123,284,000",0,"123,284,000",0,"123,270,000","123,270,000","14,000",0,"14,000",0,0,"1,515,000",0,"1,515,000",0,"71,000","1,586,000",Apr 2016 - Mar 2017,Received,fy1,LEE KUAN YEW FUND FOR BILINGUALISM,0,0,0,0,"14,000",Arts and Heritage,"181,000","103,000","284,000",0,0,0,0,"1,874,000","1,000",0,"2,159,000",Historical & Cultural Conservation,201204335M
"305,000","32,810,000",0,"86,423,000",0,0,0,"119,538,000",0,"119,538,000",0,"119,524,000","119,524,000","14,000",0,"14,000",0,0,"949,000",0,"949,000",0,"66,000","1,015,000",Apr 2015 - Mar 2016,Received,fy2,LEE KUAN YEW FUND FOR BILINGUALISM,0,0,0,0,"5,353,000",Arts and Heritage,"5,001,000","1,161,000","6,162,000",0,0,0,0,"1,703,000",0,0,"7,865,000",Historical & Cultural Conservation,201204335M
"86,000","37,436,000",0,"77,291,000",0,0,0,"114,813,000",0,"114,813,000",0,"114,800,000","114,800,000","13,000",0,"13,000",0,0,"948,000",0,"948,000",0,"76,000","1,024,000",Apr 2014 - Mar 2015,Received,fy3,LEE KUAN YEW FUND FOR BILINGUALISM,0,0,0,0,"1,547,000",Arts and Heritage,0,"5,460,000","5,460,000",0,0,0,"1,448,000","1,066,000","1,000",0,"7,975,000",Historical & Cultural Conservation,201204335M
0,"100,464",0,0,0,0,0,"100,464",0,"100,464",0,"98,364","98,364","2,100",0,"2,100",0,0,"64,969",0,"64,969",0,0,"40,035",Apr 2015 - Mar 2016,Received,fy2,My Community,0,0,0,0,0,Arts and Heritage,0,"43,120","43,120",0,0,0,"87,890",0,"6,497",0,"20,200",Historical & Cultural Conservation,T10SS0125C
0,"19,706",0,0,0,0,0,"19,706",0,"19,706",0,"19,706","19,706",0,0,0,0,0,0,0,0,0,"40,035",0,0,0,fy3,My Community,0,0,0,0,0,Arts and Heritage,"15,000",-,"15,000",0,-,0,"5,000",0,200,0,0,Historical & Cultural Conservation,T10SS0125C
"42,384","1,512,730","31,571",0,0,0,0,"1,586,685",0,"1,586,685","519,380","1,055,302","535,922","531,383",0,"531,383","519,380",0,"106,347","33,682","140,029","516,910","300,298","358,902",Apr 2015 - Mar 2016,Received,fy2,NAM HWA OPERA LIMITED,0,0,7,"159,033",0,Arts and Heritage,"25,568","705,335","730,903",0,0,0,"752,734",0,"135,570",0,"1,537,810",Historical & Cultural Conservation,201504648M
"47,646","1,007,808","18,005",0,0,0,0,"1,073,459",0,"1,073,459",0,"393,332","393,332","680,127",0,"680,127","660,065",0,"36,369",0,"36,369","197,056","125,477",0,0,0,fy3,NAM HWA OPERA LIMITED,0,0,5,"121,177",0,Arts and Heritage,"54,612","614,648","669,260",0,0,0,"772,865",0,"95,685",0,0,Historical & Cultural Conservation,201504648M
0,"8,042,100",0,0,0,0,0,"8,042,100",0,"8,042,100",0,0,0,0,"8,042,100","8,042,100",0,0,0,0,0,"122,827","1,911,817","2,034,644",Apr 2016 - Mar 2017,Received,fy1,NATIONAL HERITAGE FUND,0,7.5,0,0,0,Arts and Heritage,"799,040","843,075","1,642,115","1,088,572","1,165,413","2,253,985",0,0,0,0,"3,896,100",Historical & Cultural Conservation,T03CC1717K
0,"8,500,609",0,0,0,0,0,"8,500,609",0,"8,500,609",0,0,0,0,"8,500,609","8,500,609",0,0,0,0,0,"188,581","7,813,604","8,002,185",Apr 2015 - Mar 2016,Received,fy2,NATIONAL HERITAGE FUND,0,17.9,0,0,0,Arts and Heritage,"1,041,402","4,951,012","5,992,414",0,0,0,0,0,0,0,"5,992,414",Historical & Cultural Conservation,T03CC1717K
0,"10,510,380",0,0,0,0,0,"10,510,380",0,"10,510,380",0,0,0,0,"10,510,380","10,510,380",0,0,0,0,0,0,"5,142,861","5,142,861",Apr 2014 - Mar 2015,Late,fy3,NATIONAL HERITAGE FUND,0,0,0,0,0,Arts and Heritage,"215,218","6,703,700","6,918,918",0,0,0,0,0,0,0,"6,918,918",Historical & Cultural Conservation,T03CC1717K
0,"4,024,524",0,0,0,0,0,"4,024,524",0,"4,024,524",0,"4,024,524","4,024,524",0,0,0,0,0,"3,649,427",0,"3,649,427",0,0,"3,649,427",Apr 2016 - Mar 2017,Late,fy1,PRESERVATION OF MONUMENTS FUND,0,0,0,0,0,Arts and Heritage,0,"929,586","929,586",0,0,0,0,0,0,0,"929,586",Historical & Cultural Conservation,T03CC1669C
0,"6,744,365",0,0,0,0,0,"6,744,365",0,"6,744,365",0,"6,744,365","6,744,365",0,0,0,0,0,"1,871,926",0,"1,871,926",0,0,"1,871,926",Apr 2015 - Mar 2016,Late,fy2,PRESERVATION OF MONUMENTS FUND,0,0,0,0,0,Arts and Heritage,"2,000","2,931,336","2,933,336",0,0,0,0,0,0,0,"2,933,336",Historical & Cultural Conservation,T03CC1669C
0,"5,682,955",0,0,0,0,0,"5,682,955",0,"5,682,955",0,"5,682,955","5,682,955",0,0,0,0,0,"969,792",0,"969,792",0,0,"969,792",Apr 2014 - Mar 2015,Late,fy3,PRESERVATION OF MONUMENTS FUND,0,0,0,0,0,Arts and Heritage,"100,500","1,832,285","1,932,785",0,0,0,0,0,0,0,"1,932,785",Historical & Cultural Conservation,T03CC1669C
"173,343","619,144",0,0,0,0,"4,825","797,312",0,"797,312","134,910","611,630","476,720","185,682",0,"185,682","132,760",0,"814,961","9,365","824,326",0,"53,917","878,243",Jan 2016 - Dec 2016,Received,fy1,SINGAPORE CHINESE DANCE THEATRE,0,0,7,"345,047","255,658",Arts and Heritage,0,"118,818","118,818",0,0,0,"366,668",0,"70,563","480,172","1,036,221",Historical & Cultural Conservation,201419196W
