address,date_of_reg,ipc_period,ipc_status,name,primary_sector,status,uen,website
28 KELANTAN ROAD #05-129 KELANTAN COURT Singapore 200028,04/05/2011,Not applicable,Not applicable,AVANT THEATRE & LANGUAGE,Arts and Heritage,Registered,201105101N,http://www.avanttheatre.com
1 YISHUN INDUSTRIAL STREET 1 #06-11 A'POSH BIZHUB Singapore 768160,01/07/2015,Not applicable,Not applicable,CHARACTER & LEADERSHIP ACADEMY LIMITED,Others,Registered,201412408N,www.characterleadership.sg
99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,29/09/2015,Not applicable,Not applicable,CHOW & CHOWS CHARITY LTD.,Social and Welfare,Registered,201325771N,Not applicable
99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,06/01/2017,Not applicable,Not applicable,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.,Social and Welfare,Registered,201526674R,Not applicable
99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,06/01/2017,Not applicable,Not applicable,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (FENGSHAN) LTD.,Social and Welfare,Registered,201404167K,Not applicable
99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,22/02/2012,Not applicable,Not applicable,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD.,Social and Welfare,Registered,201003141H,Not applicable
"4 ROBINSON ROAD #05-01 HOUSE OF EDEN, THE Singapore 048543",19/11/2012,Not applicable,Not applicable,FAUNA & FLORA INTERNATIONAL (SINGAPORE),Others,Registered,201133836K,http://www.fauna-flora.org
10 SERANGOON NORTH AVENUE 2 #05-02 THE SERANGOON CC Singapore 555877,05/12/2012,From 01/09/2017 To 28/02/2019,Live,NULIFE CARE & COUNSELLING SERVICES LIMITED,Social and Welfare,Registered,200416313W,http://www.nulife.com.sg
23 TAI THONG CRESCENT SENNETT ESTATE Singapore 347855,21/06/2017,Not applicable,Not applicable,TAN NGAK BUAY & KEE MENG LANG FOUNDATION LIMITED,Others,Registered,201612738D,Not applicable
2 ORCHARD LINK #04-01 SCAPE Singapore 237978,22/11/2007,From 21/10/2016 To 20/10/2018,Live,"*SCAPE CO., LTD.",Others,Registered,200712761D,http://www.scape.sg
101 UPPER CROSS STREET #05-16 PEOPLE'S PARK CENTRE Singapore 058357,03/11/2016,Not applicable,Not applicable,21C GIRLS LTD.,Education,Registered,201436550G,www.21cgirls.com
1 COMMONWEALTH LANE #03-10 ONE COMMONWEALTH Singapore 149544,10/03/2003,From 01/02/2017 To 31/01/2019,Live,365 CANCER PREVENTION SOCIETY,Social and Welfare,Registered,T03SS0046H,http://www.365cps.org.sg
'A' QUEEN STREET Singapore 188533,12/05/2004,Not applicable,Not applicable,A DAY WITH MARY,Religious,Registered,T04CC1777A,Not applicable
141 MIDDLE ROAD #05-05 GSM BUILDING Singapore 188976,13/07/1987,Not applicable,Not applicable,A. O. ACTION LOVE LTD.,Religious,Registered,198700575Z,Not applicable
21 COLLYER QUAY #16-01 HSBC TRUSTEE (S) LTD Singapore 049320,11/10/1985,Not applicable,Not applicable,ABDULLAH SALEH SHOOKER TRUST,Others,Registered,S85CC2085E,Not applicable
7A LORONG 8 TOA PAYOH #02-09 AGAPE VILLAGE Singapore 319264,24/11/2010,From 29/11/2017 To 28/08/2020,Live,ABILITIES BEYOND LIMITATIONS AND EXPECTATIONS LIMITED,Social and Welfare,Registered,201022774G,www.able-sg.org
