address,date_of_reg,ipc_period,ipc_status,name,primary_sector,status,uen,website
10 SERANGOON NORTH AVENUE 2 #05-02 THE SERANGOON CC Singapore 555877,05/12/2012,From 01/09/2017 To 28/02/2019,Live,NULIFE CARE & COUNSELLING SERVICES LIMITED,Social and Welfare,Registered,200416313W,http://www.nulife.com.sg
2 ORCHARD LINK #04-01 SCAPE Singapore 237978,22/11/2007,From 21/10/2016 To 20/10/2018,Live,"*SCAPE CO., LTD.",Others,Registered,200712761D,http://www.scape.sg
1 COMMONWEALTH LANE #03-10 ONE COMMONWEALTH Singapore 149544,10/03/2003,From 01/02/2017 To 31/01/2019,Live,365 CANCER PREVENTION SOCIETY,Social and Welfare,Registered,T03SS0046H,http://www.365cps.org.sg
7A LORONG 8 TOA PAYOH #02-09 AGAPE VILLAGE Singapore 319264,24/11/2010,From 29/11/2017 To 28/08/2020,Live,ABILITIES BEYOND LIMITATIONS AND EXPECTATIONS LIMITED,Social and Welfare,Registered,201022774G,www.able-sg.org
81 KIM KEAT ROAD #11-00 NKF CENTRE Singapore 328836,13/04/1984,From 17/05/2016 To 16/05/2018,Live,ACADEMY OF MEDICINE SINGAPORE,Health,Registered,197702012E,http://www.ams.edu.sg
61 Jalan Hitam Manis Singapore 278475,26/06/2007,From 06/06/2017 To 05/06/2020,Live,ACS (International) Education Fund,Education,Registered,T07CC2027A,http://www.acsinternational.edu.sg
31 Kelantan Lane #02-16 c/o DSC Clinic Singapore 200031,07/10/1994,From 30/12/2017 To 29/12/2019,Live,Action For Aids (Singapore),Health,Registered,S88SS0126A,http://www.afa.org.sg
195 Kim Keat Avenue #01-294 Singapore 310195,28/07/1986,From 01/08/2016 To 31/07/2018,Live,Adventist Home for the Elders,Social and Welfare,Registered,S80SS0046B,http://www.adventisthome.org.sg
6 Marsiling Drive #01-96 Singapore 730006,31/08/1999,From 20/07/2016 To 19/07/2018,Live,Adventist Nursing and Rehabilitation Centre,Health,Registered,S97SS0048K,http://www.anrc.org.sg/
748A NORTH BRIDGE ROAD Singapore 198716,13/01/2011,From 01/11/2017 To 31/10/2018,Live,AIDHA LTD.,Social and Welfare,Registered,201006653E,http://www.aidha.org
2 EUNOS CRESCENT #01-2545 Singapore 400002,17/04/2006,From 18/09/2017 To 17/09/2018,Live,Ain Society,Social and Welfare,Registered,T00SS0163F,http://www.ainsociety.org.sg
90 YISHUN CENTRAL KHOO TECK PUAT HOSPITAL Singapore 768828,19/11/2014,From 21/06/2016 To 20/06/2018,Live,ALEXANDRA HEALTH FUND LIMITED,Health,Registered,201427909W,Not applicable
